Year,Make,Model,Security,Dups
1996,Lexus,ES,Information not available,False
1996,Lexus,GS,Information not available,False
1996,Lexus,LS,Information not available,False
1996,Lexus,LX,Information not available,False
1996,Lexus,SC,Information not available,False
1997,Lexus,ES,Information not available,False
1997,Lexus,GS,Information not available,False
1997,Lexus,LX,Information not available,False
1997,Lexus,SC,Information not available,False
1997,Lexus,LS,Std,False
1998,Lexus,ES,Std,False
1998,Lexus,GS,Std,False
1998,Lexus,LS,Std,False
1998,Lexus,LX,Std,False
1998,Lexus,SC,Std,False
1999,Lexus,ES,Std,False
1999,Lexus,GS,Std,False
1999,Lexus,LS,Std,False
1999,Lexus,LX,Std,False
1999,Lexus,RX,Std,False
1999,Lexus,SC,Std,False
2000,Lexus,ES,Std,False
2000,Lexus,GS,Std,False
2000,Lexus,LS,Std,False
2000,Lexus,LX,Std,False
2000,Lexus,RX,Std,False
2000,Lexus,SC,Std,False
2001,Lexus,ES,Std,False
2001,Lexus,GS,Std,False
2001,Lexus,IS,Std,False
2001,Lexus,LS,Std,False
2001,Lexus,LX,Std,False
2001,Lexus,RX,Std,False
2001,Lexus,SC,Std,False
2002,Lexus,ES,Std,False
2002,Lexus,GS,Std,False
2002,Lexus,IS,Std,False
2002,Lexus,LS,Std,False
2002,Lexus,LX,Std,False
2002,Lexus,RX,Std,False
2002,Lexus,SC,Std,False
2003,Lexus,ES,Std,False
2003,Lexus,GS,Std,False
2003,Lexus,GX,Std,False
2003,Lexus,IS,Std,False
2003,Lexus,LS,Std,False
2003,Lexus,LX,Std,False
2003,Lexus,RX,Std,False
2003,Lexus,SC,Std,False
2004,Lexus,ES,Std,False
2004,Lexus,GS,Std,False
2004,Lexus,GX,Std,False
2004,Lexus,IS,Std,False
2004,Lexus,ISF,Std,False
2004,Lexus,LS,Std,False
2004,Lexus,LX,Std,False
2004,Lexus,RX,Std,False
2004,Lexus,SC,Std,False
2005,Lexus,ES,Std,False
2005,Lexus,GS,Std,False
2005,Lexus,GX,Std,False
2005,Lexus,IS,Std,False
2005,Lexus,ISF,Std,False
2005,Lexus,LS,Std,False
2005,Lexus,LX,Std,False
2005,Lexus,RX,Std,False
2005,Lexus,SC,Std,False
2006,Lexus,IS,Smart Key Std,False
2006,Lexus,ISF,Smart Key Std,False
2006,Lexus,ES,Std,False
2006,Lexus,GS,Std,False
2006,Lexus,GX,Std,False
2006,Lexus,LS,Std,False
2006,Lexus,LX,Std,False
2006,Lexus,RX,Std,False
2006,Lexus,SC,Std,False
2007,Lexus,IS,Smart Key Std,False
2007,Lexus,ISF,Smart Key Std,False
2007,Lexus,ES,Smart Key Std,False
2007,Lexus,LS,Smart Key Std,False
2007,Lexus,GS,Std,False
2007,Lexus,GX,Std,False
2007,Lexus,LX,Std,False
2007,Lexus,RX,Std,False
2007,Lexus,SC,Std,False
2008,Lexus,IS,Smart Key Std,False
2008,Lexus,ISF,Smart Key Std,False
2008,Lexus,LX,Smart Key Std,False
2008,Lexus,ES,Smart Key Std,False
2008,Lexus,LS,Smart Key Std,False
2008,Lexus,GS,Std,False
2008,Lexus,GX,Std,False
2008,Lexus,RX,Std,False
2008,Lexus,SC,Std,False
2009,Lexus,IS,Smart Key Std,False
2009,Lexus,ISF,Smart Key Std,False
2009,Lexus,LX,Smart Key Std,False
2009,Lexus,ES,Smart Key Std,False
2009,Lexus,LS,Smart Key Std,False
2009,Lexus,GS,Std,False
2009,Lexus,GX,Std,False
2009,Lexus,RX,Std,False
2009,Lexus,SC,Std,False
2010,Lexus,ES,Smart Key,False
2010,Lexus,LS,Smart Key,False
2010,Lexus,IS,Smart Key,False
2010,Lexus,ISF,Smart Key,False
2010,Lexus,LX,Smart Key,False
2010,Lexus,GS,Std,False
2010,Lexus,GX,Std,False
2010,Lexus,RX,Std,False
2010,Lexus,SC,Std,False
2011,Lexus,ES,Smart Key,False
2011,Lexus,GX,Smart Key,False
2011,Lexus,LS,Smart Key,False
2011,Lexus,RX,Smart Key,False
2011,Lexus,GS,Smart Key,False
2011,Lexus,IS,Smart Key,False
2011,Lexus,ISF,Smart Key,False
2011,Lexus,LX,Smart Key,False
2011,Lexus,SC,Std,False
2012,Lexus,ES,Smart Key,False
2012,Lexus,GX,Smart Key,False
2012,Lexus,LS,Smart Key,False
2012,Lexus,RX,Smart Key,False
2012,Lexus,GS,Smart Key,False
2012,Lexus,IS,Smart Key,False
2012,Lexus,ISF,Smart Key,False
2012,Lexus,LX,Smart Key,False
2012,Lexus,LFA,Std,False
2012,Lexus,SC,Std,False
2013,Lexus,ES,Smart Key,False
2013,Lexus,GX,Smart Key,False
2013,Lexus,LS,Smart Key,False
2013,Lexus,RX,Smart Key,False
2013,Lexus,GS,Smart Key,False
2013,Lexus,IS,Smart Key,False
2013,Lexus,ISF,Smart Key,False
2013,Lexus,LX,Smart Key,False
2013,Lexus,LFA,Std,False
