Year,Make,Model,Security
2004,Subaru,Baja,Information not available
2004,Subaru,Forester,Information not available
2004,Subaru,Impreza,Information not available
2004,Subaru,Legacy,Information not available
2004,Subaru,Outback,Information not available
2005,Subaru,Baja,Information not available
2005,Subaru,Forester,Std 2.5 XT
2005,Subaru,Outback,Std 2.5 XT & 3.0 R
2005,Subaru,Legacy,Std 2.5 GT
2005,Subaru,Impreza,Std WRX STI
2006,Subaru,Baja,Information not available
2006,Subaru,Forester,Std 2.5 XT
2006,Subaru,B9 Tribeca,Std all variants
2006,Subaru,Tribeca,Std all variants
2006,Subaru,Legacy,Std all variants
2006,Subaru,Outback,Std all variants
2006,Subaru,Impreza,Std all WRX & WRX STI
2007,Subaru,Forester,Std 2.5 XT
2007,Subaru,B9 Tribeca,Std all variants
2007,Subaru,Tribeca,Std all variants
2007,Subaru,Legacy,Std all variants
2007,Subaru,Outback,Std all variants
2007,Subaru,Impreza,Std all WRX & WRX STI
2008,Subaru,Forester,Std 2.5 XT
2008,Subaru,B9 Tribeca,Std all variants
2008,Subaru,Tribeca,Std all variants
2008,Subaru,Impreza,Std all variants
2008,Subaru,Legacy,Std all variants
2008,Subaru,Outback,Std all variants
2009,Subaru,Forester,Std all variants
2009,Subaru,B9 Tribeca,Std all variants
2009,Subaru,Tribeca,Std all variants
2009,Subaru,Impreza,Std all variants
2009,Subaru,Legacy,Std all variants
2009,Subaru,Outback,Std all variants
2010,Subaru,Forester,Std all variants
2010,Subaru,B9 Tribeca,Std all variants
2010,Subaru,Tribeca,Std all variants
2010,Subaru,Impreza,Std all variants
2010,Subaru,Legacy,Std all variants
2010,Subaru,Outback,Std all variants
2011,Subaru,Forester,Std all variants
2011,Subaru,B9 Tribeca,Std all variants
2011,Subaru,Tribeca,Std all variants
2011,Subaru,Impreza,Std all variants
2011,Subaru,Legacy,Std all variants
2011,Subaru,Outback,Std all variants
2012,Subaru,Forester,Std all variants
2012,Subaru,B9 Tribeca,Std all variants
2012,Subaru,Tribeca,Std all variants
2012,Subaru,Impreza,Std all variants
2012,Subaru,Legacy,Std all variants
2012,Subaru,Outback,Std all variants
2013,Subaru,Forester,Std all variants
2013,Subaru,B9 Tribeca,Std all Variants
2013,Subaru,Tribeca,Std all Variants
2013,Subaru,BRZ,Std all variants
2013,Subaru,Impreza,Std all variants
2013,Subaru,Legacy,Std all variants
2013,Subaru,Outback,Std all variants
2013,Subaru,XV Crosstrek,Std all variants
